   323.12	   359.85	K2+e"Õ
   321.49	   253.78	6
   321.49	   348.68	2
   319.63	   241.68	VIN3
   318.24	    27.45	1
   318.24	   143.75	C43
   318.24	   155.85	1uF/6.3V
   318.24	   187.48	17
   318.24	   693.41	MIC2
   316.38	   124.68	GND
   316.38	   195.63	ALDOIN
   316.38	   345.43	0
   316.38	   574.32	A
   316.38	   582.21	udio
   314.52	   167.01	AudioCTR_VCC
   314.52	   253.78	5
   314.52	   318.44	GND
   314.52	   352.17	0
   313.13	    31.17	D8
   313.13	   243.08	LX3
   311.97	   346.36	PH1.25-2P
   311.27	   143.75	C44
   311.27	   155.85	2.2uF/6.3V
   311.27	   187.48	18
   309.88	    31.17	B5819WS
   309.88	   195.63	ALDO1
   308.25	    27.45	2
   307.79	   170.04	Audio_VCC
   307.79	   253.78	4
   306.16	   243.31	FB3
   304.30	   143.75	C45
   304.30	   155.85	2.2uF/6.3V
   304.30	   187.48	19
   303.84	   701.09	DDDT
   302.68	   195.63	ALDO2
   301.05	   167.25	EPD_VCC_AXP
   301.05	   450.10	SHTC
   301.05	   480.06	3
   301.05	   701.09	DNNA
   299.42	   701.09	VGGD
   299.19	    31.64	RTC_INT
   297.57	   143.75	C14
   297.57	   155.85	2.2uF/6.3V
   297.57	   187.48	16
   297.57	   757.61	C137
   295.94	   195.63	ALDO3
   295.94	   327.98	VBA_CKUPH4
   295.94	   732.49	L5
   294.31	   264.01	VSYS
   292.46	    85.37	VCC3V3
